nct_id,role,name
NCT05260021,Principal Investigator,Luiza Siffert
NCT05260021,Principal Investigator,Francisco Samuel Magalhães Lima
NCT05260021,Principal Investigator,Breno Balabem Alves
NCT05260021,Principal Investigator,Jessica Amsellem-Jager
NCT05260021,Principal Investigator,Elise Bismuth
NCT05260021,Principal Investigator,Rajesh Khadgawat
NCT05260021,Principal Investigator,parag Rajnikant Shah
NCT05260021,Principal Investigator,Dr Chitra Selvan
NCT05260021,Principal Investigator,Ameya Sudhakar Joshi
NCT05260021,Principal Investigator,Balamurugan Ramanathan
NCT05260021,Principal Investigator,Soham Mukerjee
NCT05260021,Principal Investigator,Alon Haim
NCT05260021,Principal Investigator,Marianna Rachmiel
NCT05260021,Principal Investigator,Orit Pinhas-Hamiel
NCT05260021,Principal Investigator,Naim Shehadeh
NCT05260021,Principal Investigator,Floris Levy-Khademi
NCT05260021,Principal Investigator,Angela Zanfardino
NCT05260021,Principal Investigator,Claudio Maffeis
NCT05260021,Principal Investigator,Valentino Cherubini
NCT05260021,Principal Investigator,Ramiro Guadalupe Banda Elizondo
NCT05260021,Principal Investigator,Ricardo Salas
NCT05260021,Principal Investigator,Luis Alejandro Nevarez
NCT05260021,Principal Investigator,Margarita Barrientos
NCT05260021,Principal Investigator,Maria del Carmen Ramon Ramirez
NCT05260021,Principal Investigator,Anbezhil Subbarayan
NCT05260021,Principal Investigator,Verghese Verghese Mathew
NCT05260021,Principal Investigator,Anbezhil Subbarayan
